,Unnamed: 0,"Финална потрошувачка на домаќинствата, вклучувајќи НПИСД",Финална јавна потрошувачка,Бруто-инвестиции,Извоз на стоки и на услуги,Увоз на стоки и на услуги
0,2000Т1,40 871,9 336,17 647,19 604,32 826
1,2000Т2,44 077,10 442,16 332,18 162,25 134
2,2000Т3,52 528,9 590,4 643,22 581,26 554
3,2000Т4,50 143,12 730,15 782,21 574,32 880
4,2001Т1,41 729,11 872,11 644,18 366,23 635
5,2001Т2,45 180,16 225,11 198,17 984,27 840
6,2001Т3,49 990,15 569,889.0,18 629,24 527
7,2001Т4,44 556,16 485,20 073,18 717,30 708
8,2002Т1,41 278,13 477,17 112,15 990,28 204
9,2002Т2,45 306,12 443,16 644,16 147,27 386
10,2002Т3,51 619,12 331,9 536,18 890,28 249
11,2002Т4,61 806,15 411,10 571,16 982,33 124
12,2003Т1,50 131,11 068,13 053,15 387,27 475
13,2003Т2,52 263,12 370,12 159,18 607,28 617
14,2003Т3,55 154,11 761,8 633,20 237,29 138
15,2003Т4,56 730,13 379,14 330,20 080,31 418
16,2004Т1,53 221,11 912,7 421,17 796,29 808
17,2004Т2,55 372,12 569,14 373,18 425,34 549
18,2004Т3,57 477,11 572,11 060,25 128,35 542
19,2004Т4,61 398,12 818,26 240,24 864,40 961
20,2005Т1,52 450,12 261,6 976,23 550,31 449
21,2005Т2,59 423,12 122,21 932,25 733,42 484
22,2005Т3,66 111,11 985,9 836,29 604,39 024
23,2005Т4,69 377,13 554,22 469,28 476,44 454
24,2006Т1,62 855,13 298,9 936,24 753,37 966
25,2006Т2,64 958,14 376,23 355,29 695,47 235
26,2006Т3,67 291,13 021,14 977,37 660,47 798
27,2006Т4,69 585,14 589,23 415,34 433,50 360
28,2007Т1,65 673,14 839,12 184,36 602,48 867
29,2007Т2,69 725,15 022,18 028,42 266,54 107
30,2007Т3,73 296,15 215,23 624,43 462,58 581
31,2007Т4,79 715,17 581,34 586,42 176,69 548
32,2008Т1,73 906,17 659,20 797,40 740,63 017
33,2008Т2,79 027,18 547,30 978,46 483,74 543
34,2008Т3,83 420,17 901,28 015,52 206,75 081
35,2008Т4,89 772,22 993,36 100,39 905,70 918
36,2009Т1,73 498,19 678,27 051,28 361,55 824
37,2009Т2,75 604,20 306,26 398,33 512,52 968
38,2009Т3,81 934,19 229,18 860,39 537,54 356
39,2009Т4,87 176,19 879,34 425,34 609,62 287
40,2010Т1,78 845,19 741,17 021,33 638,50 550
41,2010Т2,83 245,19 555,26 180,42 959,63 822
42,2010Т3,84 009,20 028,26 708,50 292,66 485
43,2010Т4,84 246,20 660,37 089,47 110,73 174
44,2011Т1,79 513,20 818,29 121,48 676,74 495
45,2011Т2,90 364,21 498,24 300,55 151,74 073
46,2011Т3,86 612,20 327,31 281,59 541,78 813
47,2011Т4,86 591,21 469,40 225,55 376,79 296
48,2012Т1,80 278,21 476,26 361,47 318,71 449
49,2012Т2,89 899,21 758,28 646,51 283,76 123
50,2012Т3,87 299,21 376,36 471,57 883,79 524
51,2012Т4,87 376,22 421,43 526,55 279,84 851
52,2013Т1,87 963,22 134,21 161,46 799,68 975
53,2013Т2,96 326,21 532,35 974,53 352,79 491
54,2013Т3,87 900,21 236,39 364,59 873,77 301
55,2013Т4,87 926,22 953,48 086,57 779,82 699
